keyword,page,position,id,type,name,brand,averageRating,manufacturerName,shortDescription,thumbnailUrl,price,currencyUnit
laptop,1,1,3YOHPMYJOUEV,Laptop Computers,"HP 15.6"" Laptop Bundle, AMD Ryzen 3 3250U, 4GB RAM, 128GB SSD, Wireless Mouse, Pale Rose Gold, Windows 11 Home in S mode, 15-ef1716wm",HP,4.1,,"Designed to keep you productive and entertained from anywhere, the HP 15.6 inch laptop combines long lasting battery life with a thin micro-edge bezel design. Thin, light, and designed to travel. See more of your photos, videos and projects on a 15.6 inch diagonal micro-edge bezel display. Tackle your busiest days with the performance of a reliable processor. Save more of what you love with plenty of storage for all your photos, videos and documents. Long-lasting battery life and HP Fast Charge technology lets you work, watch, and stay connected all day. Integrated precision touchpad with multi-touch support speeds up navigation and productivity. Seamlessly and securely log into your device with the touch of your finger. Matching HP Wireless Mouse included.",https://i5.walmartimages.com/seo/HP-15-6-Laptop-Bundle-AMD-Ryzen-3-3250U-4GB-RAM-128GB-SSD-Wireless-Mouse-Pale-Rose-Gold-Windows-11-Home-in-S-mode-15-ef1716wm_3392b132-1afd-4d1d-ae35-59a083a9b8ba.9d313ad4905686553da026b28a363742.jpeg,229,USD
laptop,1,45,1DEBGATJBTJS,Laptop Computers,"Lenovo IdeaPad 3i 14""FHD Laptop, Intel Core i5-1135G7, 8GB, 256GB SSD, Windows 11, Platinum Grey, 81X700FVUS",Lenovo,4.6,,"Engineered for long-lasting performance, the Lenovo IdeaPad 3i delivers powerful performance with an Intel Core i5 Processor and Integrated Intel Iris X Graphics. A narrow bezel on 2 sides makes for a clean design and larger display giving you more viewing area and less clutter. Keep your privacy intact with a physical shutter for your webcam bringing you peace of mind when you need it. It's a laptop that's perfect for your everyday tasks, with features that you can depend on.",https://i5.walmartimages.com/seo/Lenovo-IdeaPad-3i-14-FHD-Laptop-Intel-Core-i5-1135G7-8GB-256GB-SSD-Windows-11-Platinum-Grey-81X700FVUS_70701446-e63a-4490-a792-f7fdd3f7df00.8ede4ef5dbddddbc3d98b5a7383c53a0.jpeg,358.99,USD
laptop,1,44,5SS9U66J2V2Q,Laptop Computers,"Acer Spin 311 11.6"" Touchscreen MediaTek MT8183C 4GB/32GB Chromebook - Silver - CP311-3H-K3WL",Acer,4.3,,"The stylish Chromebook Spin 311 easily transforms into anything you need it to be, thanks to its flexible 360° hinge that lets you rotate it to any angle to create a notebook, stand-up display, tent or tablet-style device. This immensely versatility folds into any situation, allowing you to take it anywhere and use it everywhere! Weighing in at just 2.21lbs., it’s ultra-light and easily transported in a backpack or bag. The power efficient MT8183C processor and generous battery give it up to 15 hours of battery life, meaning a full charge will easily last the working day and all evening. Get the best of Google, more than 2 million Android apps, Gmail, Maps, Docs and Pics. Back up all your files safely in Google Drive. Whatever your need, this super portable design meets the rigors of daily life—inside and outside the classroom.",https://i5.walmartimages.com/seo/Acer-Spin-311-11-6-Touchscreen-MediaTek-MT8183C-4GB-32GB-Chromebook-Silver-CP311-3H-K3WL_142d29c4-fb7e-4abd-8383-39466511baf0.cd550ac5ada74a9d2859208a4b214bf1.jpeg,182.85,USD
laptop,1,43,43LI6BV6GHGK,Laptop Computers,"HP 17.3"" FHD Laptop, Intel Core i3-N305, 8GB RAM, 256GB SSD, Windows 11 Home, 17-cn3034wm",HP,4.3,,"The HP 17.3"" Laptop PC gives you a bigger screen in a smaller footprint, while blending performance and comfort. Get things done with a peace of mind, the HP 17.3 inch Laptop PC is EPEAT Silver registered and ENERGY STAR certified. And it contains sustainable, post-consumer recycled plastics. See more on the 17.3 inch diagonal high resolution screen with a narrow bezel, and get comfy while you type with a new lift-hinge that elevates the keyboard. Multitasking feels easy and fast with the performance of an Intel processor, powerful graphics, and speedy Wi-Fi technology. Store more of what you love with a lot of storage. With comfort features like HP Fast Charge and a big click pad, this laptop lets you do you.",https://i5.walmartimages.com/seo/HP-17-3-FHD-Laptop-Intel-Core-i3-N305-8GB-RAM-256GB-SSD-Windows-11-Home-17-cn3034wm_a7f66cf6-05bd-4d80-a008-14ed7aceab5a.83b57d98f56208a20db2a08dd1574f92.jpeg,411.14,USD
laptop,1,42,0VLCQK0V5C9G,Laptop Computers,"NBD Laptop Computer(7 inch), Quad Core Powered by Android 12.0, Netbook Computer with WiFi, Webcam and Bluetooth, Mini Laptop with Bag, Mouse, and Mouse Pad for Kids（Pink）",NBD,5,,"NBD Laptop Computer(7 inch), Quad Core Powered by Android 12.0, Netbook Computer with WiFi, Webcam and Bluetooth, Mini Laptop with Bag, Mouse, and Mouse Pad for Kids
<br>【Powerful Laptop】: NBD notebook computer supports Android 12.0 operating system, with a quad-core and 2G RAM+32 GB ROM large storage capacity, allowing you to store a large number of pictures, videos, and applications, and the computer runs smoothly to help you handle work easily.
<br>【7 Inch IPS Screen】：The Laptop computer with 7 inch IPS HD screen allows you to enjoy colorful entertainment from any angle. It is designed to maximize your movie viewing (YouTube, Netflix, etc.!) and gaming experience. Bluetooth and USB ports provide all required input and output connection options as you want.
<br>【Lightweight and Portable】:The NBD pink laptop is a stylish design. It is easy to carry and suitable for free use by children for online learning or entertainment.
<br>【Connectivity for Productivity】: Laptop is equipped with a variety of ports, including USB ports, TF slots that can also be used as storage expansion, 3.5mm jack ports. Make your work more efficient.
<br>【Fully equipped, Super-Valued Kit】:The computer kit includes laptop*1,black computer bag*1, mouse*1, mouse pad*1, Charger*1 and User's manual*1. It's super cost-effective. With these, you can work, watch videos, take online classes, and have fun as you like.",https://i5.walmartimages.com/seo/NBD-Laptop-Computer-7-inch-Quad-Core-Powered-Android-12-0-Netbook-Computer-WiFi-Webcam-Bluetooth-Mini-Bag-Mouse-Mouse-Pad-Kids-Pink_85296625-cd5d-4fd1-96b3-9fdf773ef114.f5fd0515eca383ffc1c8e3878abcd00d.jpeg,99,USD
laptop,1,41,55CANYMXW8DY,Laptop Computers,"HP X360 14” Celeron 2-in-1 Touch 4GB/64GB Chromebook-Teal, Intel Celeron N4000, 4GB RAM, 64 GB eMMC, Teal, 14a-ca0030wm",HP,4.2,,"The HP Chromebook x360 convertible laptop has entertaining views that adjust to you thanks to the flexible 360-degree hinge, and the power to tackle work and play all day with a long battery life. Easy-to-use Chrome operating system was designed to be fast in every possible way while keeping you safe and more secure on the web. The dual-core Intel® Celeron® processor is the perfect combination of performance, power consumption, and value to help your device run smoothly and reliably with two processing cores to handle all your tasks. Pinch, zoom and swipe on the HD touchscreen to intuitively control your PC. Get online easier when you're away from Wi-Fi. With Google Instant Tethering, your Chromebook will automatically share an Android phone's cellular connection. With a quick, one-step pairing, your Chromebook can be unlocked by your mobile device when nearby or send and receive messages through the web. Work faster and smarter with Google Assistant. Seamlessly multitask, ask questions and control your entertainment hands-free with a simple voice command. Get the Android apps you already love on your phone and tablet through the Google Play Store, without compromising their speed, simplicity or security.",https://i5.walmartimages.com/seo/HP-X360-14-Celeron-2-in-1-Touch-4GB-64GB-Chromebook-Teal-Intel-Celeron-N4000-4GB-RAM-64-GB-eMMC-Teal-14a-ca0030wm_33dec549-bf1a-4d1c-9165-7e1d3bd62a71.92e69b79b60021aa2a983207475f8a39.jpeg,292,USD
laptop,1,40,6L9C0LP5ABOJ,Laptop Computers,"Lenovo Ideapad 1i, 14.0"" Laptop, Intel Pentium N5030, 4GB RAM, 128GB eMMC Storage, Cloud Grey, Windows 11 in S Mode with Office 365 1-yr, 82V6001DUS",Lenovo,3.9,,"<p>The IdeaPad 1i raises the bar on every affordable laptop with a super efficient Intel Pentium processor in a thin and compact 17.9 mm chassis that makes multitasking a breeze while boosting energy efficiency with 10 hours of battery life and rapid charge. Get more value with four sided narrow bezels for maximum screen, Dolby Audio speakers and Flip to Start for instant bootup. Includes Microsoft 365.</p>",https://i5.walmartimages.com/seo/Lenovo-Ideapad-1i-14-0-Laptop-Intel-Pentium-N5030-4GB-RAM-128GB-eMMC-Storage-Cloud-Grey-Windows-11-in-S-Mode-with-Office-365-1-yr-82V6001DUS_9ef0e7e7-607f-40f0-a47a-37a754da92dc.7f5be0d865f6efc0542a357ad57de7f2.jpeg,233.98,USD
laptop,1,39,3QEXZJAVBAYQ,Laptop Computers,"Lenovo IdeaPad 3i 14"", Intel Core i5-1155G7, 8GB RAM, 512GB SSD, Artic Grey, Windows 11, 82H701QNUS",Lenovo,4.6,,"The ultimate Smart Learning notebook, the Lenovo IdeaPad 3i pairs up to 11th Generation Intel Core i5 processors with tailored work and learn from home solutions that address eye strain, posture problems and at-home distractions, while deploying intelligent thermals for a cool and whisper-quiet system. The new privacy shutter on the camera also lets you reserve complete control over your privacy in the home and beyond.",https://i5.walmartimages.com/seo/Lenovo-IdeaPad-3i-14-Intel-Core-i5-1155G7-8GB-RAM-512GB-SSD-Artic-Grey-Windows-11-82H701QNUS_f7505207-0e27-4810-a19d-07d48d95bbf8.7873b90d194984fab54aa66ae8b06084.jpeg,389,USD
laptop,1,38,5ZXAN85414RL,Laptop Computers,"ASUS Vivobook Go 15.6"" FHD Laptop, Intel Pentium, 4GB, 128GB, Win 11 (S Mode), Office 365 1-Yr, Pink",ASUS,3.8,,"ASUS Vivobook Go 15 Laptop is designed to help you be productive all day — even when you’re on the move. This compact and lightweight 15 inch laptop is powered by the Intel® processor and provides long lasting battery life. With preloaded Windows 11 in S mode, it offers full compatibility with a wide range of software and peripherals. It’s the best laptop for people on the go.",https://i5.walmartimages.com/seo/ASUS-Vivobook-Go-15-6-FHD-Laptop-Intel-Pentium-4GB-128GB-Win-11-S-Mode-Office-365-1-Yr-Pink_7c697411-a3b3-418a-841a-f9187d227942.5401e91625a5c89fce91473be287ea26.jpeg,219.99,USD
laptop,1,37,6XRJUYGQTU94,Laptop Computers,"CHUWI GemiBook XPro 14"" Laptop,256GB SSD 8GB RAM,12th Gen Intel Alder Lake N100(Up to 3.4GHz),Windows 11 Notebook Gaming Computer,2160*1440 IPS Display,Wi-Fi,Bluetooth 5.1,Full Metal",Chuwi,4.4,,"<p>【Alder N100 Processor】CHUWI Gemibook XPro comes with newest 12th Gen Intel Alder Lake-N100 (frequency is 3.4GHz and quad-core 4 threads). Pre-installed Windows 11 home OS. Supports DirectX 12 and OpenGL 4.5, it can run most modern games at mid graphics settings.<br></p>
<p>【14.1 inch IPS FHD Screen】With 2K 1920*1080 Resolution, over 80% screen occupancy, 16:9 aspect ratio that delivers stunning color accuracy and detailed images. 38Wh high-performance battery can work for 6 to 8 hours without worrying about running out of power.</p>
<p>【8GB LPDDR5+256GB SSD】Dual channel 4800MHz LPDDR5 RAM delivering quick app launches, smooth games and videos. 256GB SSD hard disk ideal for downloading tons of files, apps, songs. Support M.2 SSD expansion to 1TB. TF card interface supports up to 128GB.<br>
</p>
<p>【Light &amp; Thin Body】Whole body approx 3.2lbs and thickness is 0.7"", is engineered for superior heat and impact resistance. The full-sized keyboard and large trackpad combination provides a comfortable typing experience.&nbsp;    Durable and lightweight design makes it perfect for home or travel. 
    
</p>
<p>【WiFi6 &amp; BT5.2】WiFi 6 is 3X faster than AC 5G Wi-Fi, and saves 30% power consumption, is ideal for online courses, telecommuting, video and games. This win11 laptop builts in Bluetooth 5.2, the data transmission speed is increased by 100% compared to BT 4.2, it can be more stable at high speed.
    
    
</p>
<p>【Better Interaction】The full-sized keyboard and large trackpad combination provide an intuitive and efficient way to interact with your device, making it easy to get work done or enjoy multimedia content.</p><p>【Privacy Protection】The physical webcam slide locker design is an essential feature that can protect your privacy against potential    cyber threats, and that you have complete control over your privacy.<br></p>",https://i5.walmartimages.com/seo/CHUWI-GemiBook-XPro-14-Laptop-256GB-SSD-8GB-RAM-12th-Gen-Intel-Alder-Lake-N100-Up-3-4GHz-Windows-11-Notebook-Gaming-Computer-2160-1440-IPS-Display-Wi_4faab721-40e1-467c-ab51-36fdcb577cef.51e0f05e94498595acaf2fffc58f4f90.jpeg,239,USD
