keyword,page,position,id,type,name,brand,averageRating,manufacturerName,shortDescription,thumbnailUrl,price,currencyUnit
laptop,1,1,3YOHPMYJOUEV,Laptop Computers,"HP 15.6"" Laptop Bundle, AMD Ryzen 3 3250U, 4GB RAM, 128GB SSD, Wireless Mouse, Pale Rose Gold, Windows 11 Home in S mode, 15-ef1716wm",HP,4.1,,"Designed to keep you productive and entertained from anywhere, the HP 15.6 inch laptop combines long lasting battery life with a thin micro-edge bezel design. Thin, light, and designed to travel. See more of your photos, videos and projects on a 15.6 inch diagonal micro-edge bezel display. Tackle your busiest days with the performance of a reliable processor. Save more of what you love with plenty of storage for all your photos, videos and documents. Long-lasting battery life and HP Fast Charge technology lets you work, watch, and stay connected all day. Integrated precision touchpad with multi-touch support speeds up navigation and productivity. Seamlessly and securely log into your device with the touch of your finger. Matching HP Wireless Mouse included.",https://i5.walmartimages.com/seo/HP-15-6-Laptop-Bundle-AMD-Ryzen-3-3250U-4GB-RAM-128GB-SSD-Wireless-Mouse-Pale-Rose-Gold-Windows-11-Home-in-S-mode-15-ef1716wm_3392b132-1afd-4d1d-ae35-59a083a9b8ba.9d313ad4905686553da026b28a363742.jpeg,229,USD
laptop,4,41,7AWNF2FKGVZD,Laptop Computers,"Restored HP 14cf2112wm Stream 14"" HD Celeron N4020 1.1GHz Intel UHD Graphics 600 4GB RAM 64GB SSD Win 11 Home Rose Pink (Refurbished)",HP,4.3,,"This item is REFURBISHED. Product Details: Manufacturer: HP Series: Stream Model: 14-cf2112wm Screen Size: 14"" Touchscreen: NO Processor: Celeron N4020 Speed: 1.1GHz RAM: 4GB Solid State Drive: 64GB Operating System: Windows 11 Home",https://i5.walmartimages.com/seo/Restored-HP-14cf2112wm-Stream-14-HD-Celeron-N4020-1-1GHz-Intel-UHD-Graphics-600-4GB-RAM-64GB-SSD-Win-11-Home-Rose-Pink-Refurbished_7a0cda61-bde3-40c4-aca3-239248febd2a.81aa954143ffea784d7e329398344b8d.jpeg,141,USD
laptop,3,41,74Y2DQ1DK2LK,Laptop Computers,"HP 15.6"" Core i3 Laptop",HP,4.2,,"Do more from anywhere with this HP 15"" Laptop. It features a thin and light design that allows you to take it with you wherever you go. See more with the 6.5mm micro-edge bezel display. It's designed for all-day productivity with a long battery life and precision touchpad. It features an HP True Vision 720p HD camera with dual array microphone so you can attend meetings anywhere or catch up with friends and family. Featuring an environmentally conscious design, this laptop is low halogen and uses mercury-free backlights and arsenic-free glass. With WiFi and Bluetooth capabilities, it comes with Windows 10 Home in S mode. Tackle your busiest days with this HP 15"" Laptop.",https://i5.walmartimages.com/seo/HP-15-6-Core-i3-Laptop_54732c73-db60-4aa0-940a-fbd6683bba40.3fe9e1f1c8aab95b0b3deaff72f0d60a.jpeg,370.21,USD
laptop,3,40,30MQ25Y83DSN,Laptop Computers,"ASUS ROG Strix SCAR 16 (2023) Gaming Laptop, 16” Nebula HDR QHD, Nvidia RTX 4090, Intel i9-13980HX, 32GB DDR5, 2TB SSD, Win 11 Pro, G634JY-XS97",ASUS,4,,"Break all limits with the 2023 ROG Strix SCAR 16 gaming laptop. Dominate the Windows 11 Pro battlefield with its powerful 13th Gen Intel Core processor, and NVIDIA GeForce RTX 40 Series Laptop GPU. With swift DDR5-4800MHz memory and expansive PCIe 4x4 storage in RAID 0, multitasking becomes easy and loading times become minimal. The ROG Nebula HDR display, features premium Mini LED technology, and guarantees a bright, fast, and vivid visuals for gaming, editing, and productivity. It also features ROG Intelligent Cooling with liquid metal thermal compound on both the CPU and GPU, Tri-fan Technology, and other features to ensure peak performance under long sessions of demanding tasks. For the ultimate gaming laptop, look no further than the Strix SCAR 16.",https://i5.walmartimages.com/seo/ASUS-ROG-Strix-SCAR-16-2023-Gaming-Laptop-16-Nebula-HDR-QHD-Nvidia-RTX-4090-Intel-i9-13980HX-32GB-DDR5-2TB-SSD-Win-11-Pro-G634JY-XS97_7f6d73c0-91d8-4211-837b-d276a92227bf.5e10415c179fab0ba147f450272bfe51.jpeg,3751.87,USD
laptop,3,39,6BCEOTF5VW78,Laptop Computers,"HP 14'' Full HD Screen Laptop, AMD Ryzen 3 3250U Processor, 8GB DDR4 RAM, 1TB SSD, USB Type-C, Wi-Fi, HD Webcam, HDMI, Windows 11 Home, Silver",HP,,,"View more, carry less: See more of your screen on the 14 inch micro-edge bezel display. A thin and light design makes it easy to take this PC anywhere. Dependable performance: Tackle your busiest days with the performance of an AMD processor. Save more of what you love with plenty of storage for all your photos, videos and documents. Stay connected: Long-lasting battery life and HP Fast Charge technology lets you work, watch, and stay connected all day. Integrated precision touchpad with multi-touch support speeds up navigation and productivity.",https://i5.walmartimages.com/seo/HP-14-Full-HD-Screen-Laptop-AMD-Ryzen-3-3250U-Processor-8GB-DDR4-RAM-1TB-SSD-USB-Type-C-Wi-Fi-HD-Webcam-HDMI-Windows-11-Home-Silver_cdce2c89-e520-4792-bdd5-d13509238a8b.3f7e4e0f3482f9ac2ebfea003afc7041.jpeg,528.98,USD
laptop,3,38,76WH5V7X1EEG,Laptop Computers,"MSI Sword 15 15.6"" Gaming Laptop, 144Hz FHD, Intel Core i7-12650H, NVIDIA GeForce RTX 4050 6GB, 16GB DDR5 Memory, 512GB NVMe SSD, Windows 11, White, Sword 15 A12VE-1400",MSI,4.7,,"MSI Sword 15 15.6"" Gaming Laptop, 144Hz FHD, Intel Core i7-12650H, NVIDIA GeForce RTX 4050 6GB, 16GB DDR5 Memory, 512GB NVMe SSD, Windows 11, White, Sword 15 A12VE-1400",https://i5.walmartimages.com/seo/MSI-Sword-15-15-6-Gaming-Laptop-144Hz-FHD-Intel-Core-i7-12650H-NVIDIA-GeForce-RTX-4050-6GB-16GB-DDR5-Memory-512GB-NVMe-SSD-Windows-11-White-A12VE-140_5f389755-5b10-49ae-a314-8a0d0e198bce.1de49e86b82afb1779ddeea11cfd11bf.jpeg,999,USD
laptop,3,37,5M41YBFQYHDT,Laptop Computers,"ASUS ROG Zephyrus Duo 16 Gaming Laptop, 16” Mini LED 240Hz/3ms, QHD 16:10, NVIDIA GeForce RTX 4090, AMD Ryzen 9 7945HX, 32GB DDR5, 2TB SSD, Windows 11 Pro, GX650PY-XS97",ASUS,,,"Expand your creative and gaming horizons with the groundbreaking Zephyrus Duo 16, which features a ROG ScreenPad Plus secondary display and Mini LED main display that takes the Windows 11 Pro experience to new heights. Innovative cooling with liquid metal and a groundbreaking thermal design unleashes peak power from the latest AMD Ryzen 7000 Series CPUs and NVIDIA GeForce RTX 40 Series GPUs. Supremely portable with a high-capacity 90Wh battery, you can create, play, and stay productive anywhere.",https://i5.walmartimages.com/seo/ASUS-ROG-Zephyrus-Duo-16-Gaming-Laptop-16-Mini-LED-240Hz-3ms-QHD-16-10-NVIDIA-GeForce-RTX-4090-AMD-Ryzen-9-7945HX-32GB-DDR5-2TB-SSD-Windows-11-Pro-GX_07e3f298-49eb-443a-9ce7-2b8008b93b25.1e819dec25db39906263013e8c936c85.jpeg,3799,USD
laptop,3,36,5WBA5LNZXRAE,Laptop Computers,"Lenovo Slim 7i 14"" 2.8K IPS 120Hz Laptop, Intel Evo Core i7-1360P, 16GB, 512GB SSD, Windows 11, Misty Grey, 83A40008US",Lenovo,4.8,,"<p>Smart mobility, empowered. The Lenovo Slim 7i, designed with Intel Evo as a no-compromise, premium mobile experience, fulfills the promise of portable smart performance matched with phenomenal lightness and military-grade toughness. Stay light on your feet and deep in the pocket with 13th Gen Intel Core processors and a 14"" 16:10 2.8K IPS 120Hz display to immerse yourself deep in the story and creative process. That’s a laptop that evolved.</p>",https://i5.walmartimages.com/seo/Lenovo-Slim-7i-14-2-8K-IPS-120Hz-Laptop-Intel-Evo-Core-i7-1360P-16GB-512GB-SSD-Windows-11-Misty-Grey-83A40008US_b2354382-f5a3-4ad9-b09d-52406c1e11e6.f54a38f11c0f3979acb5983e5e37a42d.jpeg,999,USD
laptop,3,35,3S5F3IL86NOJ,Laptop Computers,"Newest HP Laptop, 15.6"" diagonal HD Display, Intel Pentium Silver N5000, 16GB RAM, 1TB SSD, Intel UHD Graphics, Bluetooth 4.2, Wi-Fi, Windows 10 Home S Mode, Cefesfy Accessories",HP,4.3,,"<p>Product Description</p>

<p>Statement:</p>

<p>Original Seal is opened for upgrade ONLY. If the computer has modifications, then the manufacturer box is opened for it to be tested and inspected and to install the upgrades to achieve the specifications as advertised.</p>

<p>Brand:</p>

<p>HP</p>

<p>Type:</p>

<p>Notebook</p>

<p>Operating System:</p>

<p>Windows 10 Home in S Mode</p>

<p>Processor:</p>

<p>Intel Pentium Silver N5000</p>

<p>Processor Core:</p>

<p>4-Core</p>

<p>Graphics:</p>

<p>Integrated Intel UHD Graphics 605</p>

<p>Chipset:</p>

<p>Intel Integrated SoC</p>

<p>Memory:</p>

<p>16GB RAM</p>

<p>Hard Drive:</p>

<p>1TB Solid State Drive</p>

<p>Type of Memory (RAM):</p>

<p>DDR4 2400</p>

<p>Communication:</p>

<p>Wi-Fi and Bluetooth 4.2</p>

<p>Network:</p>

<p>Integrated 10/100/1000 GbE LAN</p>

<p>Display:</p>

<p>15.6"" diagonal HD SVA BrightView micro-edge WLED-backlit, 220 nits, 45% NTSC (1366 x 768)</p>

<p>Ports:</p>

<p>1x USB 3.1 Gen 1 Type-C (Data Transfer Only, 5 Gb/s signaling rate)</p>

<p>2x USB 3.1 Gen 1 Type-A (Data Transfer Only)</p>

<p>1x RJ-45</p>

<p>1x AC smart pin</p>

<p>1x HDMI</p>

<p>1x Headphone/Microphone combo</p>

<p>Dimensions:</p>

<p>14.11 x 9.52 x 0.78 in</p>

<p>Weight:</p>

<p>3.93  lbs</p>",https://i5.walmartimages.com/seo/Newest-HP-Laptop-15-6-diagonal-HD-Display-Intel-Pentium-Silver-N5000-16GB-RAM-1TB-SSD-UHD-Graphics-Bluetooth-4-2-Wi-Fi-Windows-10-Home-S-Mode-Cefesfy_f5c0ae1f-7654-40d3-9941-678fe4012970.057705bd3d79cc3a2047fbb3d5f30c8a.jpeg,509,USD
laptop,3,34,7B98WF1VYU0Z,Laptop Computers,"HP ENVY x360 2-in-1 Convertible 15.6"" FHD Touch Laptop, Intel Core i5-1335U, 8GB RAM, 512GB SSD, Mineral Silver, Windows 11 Home, 15-ew1058wm",HP,4.7,,"The HP ENVY x360 15.6"" Convertible Laptop has enough power and speed to keep up with you. Nobody likes it when technology gets in the way of a good idea or a tight crunch. What we need are the tools to create without delay. It packs in all of the tools you need to realize your most creative ideas. With the 15.6"" display you get beautiful, brilliant colors. It has the latest Intel processor and graphics so it can handle what you throw at it. Quickly transfer any file almost any device to your PC without cables, clouds, thumb drives, or hassle with HP QuickDrop. While Duet for HP opens up your workspace and workflow by connecting your tablet, phone, or another PC as a second display. When you go live, you want to look your best. So turn it on for the 5MP camera with Auto Frame, and AI noise reduction. It also features a physical camera shutter for privacy, because when you’re on, you’re on, and when you’re not, you’re not. Crafted from ocean-bound plastic and recycled aluminum, this laptop is EPEAT Gold Certified and ENERGY STAR rated so you can feel like you made a difference, along with a great choice.",https://i5.walmartimages.com/seo/HP-ENVY-x360-2-in-1-Convertible-15-6-FHD-Touch-Laptop-Intel-Core-i5-1335U-8GB-RAM-512GB-SSD-Mineral-Silver-Windows-11-Home-15-ew1058wm_d5ab9fe4-870f-4c08-bf52-73d78b2ca7fb.87f9c96aec2bc443455207c2288771eb.jpeg,649,USD
